rank,final_lead_score,lead_reason,search_location,radius_km,hotel_name,address,source_provenance,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,year_built,property_age,renovation_signal_rate,renovation_needed,physical_condition_score,google_maps_url,llm_distress_probability,llm_seller_fatigue_probability,llm_opportunity_score,llm_confidence,llm_top_distress_signals,llm_investment_thesis,llm_recommended_action,llm_distress_summary,created_at
11,0,,"Orlando International Drive, Florida",3.0,Home2 Suites by Hilton Orlando Near Universal,"5910 American Way, Orlando, FL 32819, USA",Google Places,4.5,1010,OPERATIONAL,0,,0,4,1,300.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=4790482917449065336&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:21.049663
12,0,,"Orlando International Drive, Florida",3.0,Orlando International Drive North Hotel,"5859 American Way, Orlando, FL 32819, USA",Google Places,3.7,456,OPERATIONAL,5,Moderate-to-low rating with enough reviews: 456 | Negative review signal: smell | Negative review signal: refund | Renovation signals in reviews: 40.0%,0,5,0,100.0,4.0,0.0,4.0,0.2,0.0,0.2,,,0.4,True,2,https://maps.google.com/?cid=5347057049646924846&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:22.483357
13,0,,"Orlando International Drive, Florida",3.0,Hampton Inn Orlando Near Universal Blv/International Dr,"7110 S Kirkman Rd, Orlando, FL 32819, USA",Google Places,4,2158,OPERATIONAL,1,Negative review signal: smell,0,4,1,300.0,4.25,2.0,2.25,0.25,0.0,0.25,,,0.2,False,0,https://maps.google.com/?cid=14054274768808319229&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:29.650090
14,0,,"Orlando International Drive, Florida",3.0,Hilton Garden Inn Orlando International Drive North,"5877 American Way, Orlando, FL 32819, USA",Google Places,4.4,1841,OPERATIONAL,0,,0,5,0,100.0,4.2,0.0,4.2,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=10080569358660253255&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:37.532809
15,0,,"Orlando International Drive, Florida",3.0,Universal Endless Summer Resort - Dockside Inn and Suites,"7125 Universal Blvd, Orlando, FL 32819, USA",Google Places,4.4,24963,OPERATIONAL,4,Operational distress signal: closed | Renovation signals in reviews: 40.0%,0,5,0,100.0,5.0,0.0,5.0,0.2,0.0,0.2,,,0.4,True,2,https://maps.google.com/?cid=688189156564234173&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:38.967876
16,0,Declining reviews,"Orlando International Drive, Florida",3.0,Hotel universal endless summer resort,"5939 Precision Dr, Orlando, FL 32819, USA",Google Places,3.9,22,OPERATIONAL,4,Moderate-to-low rating with enough reviews: 22 | Negative review signal: worst | Rating decline: -1.0,2,4,1,300.0,3.0,4.0,-1.0,0.25,0.0,0.25,,,0.0,False,0,https://maps.google.com/?cid=14187672084976630608&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:39.990180
17,0,,"Orlando International Drive, Florida",3.0,Homewood Suites by Hilton Orlando-Nearest to Univ Studios,"5893 American Way, Orlando, FL 32819, USA",Google Places,4.3,1270,OPERATIONAL,2,Renovation signals in reviews: 40.0%,0,5,0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.4,True,2,https://maps.google.com/?cid=4872442072645667084&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:41.422949
18,0,,"Orlando International Drive, Florida",3.0,Universal Endless Summer Resort – Surfside Inn and Suites,"7000 Universal Blvd, Orlando, FL 32819, USA",Google Places,4.6,8637,OPERATIONAL,5,Negative review signal: leak | Negative review signal: worst | Negative review signal: noise | Renovation signals in reviews: 40.0%,0,5,0,100.0,4.0,0.0,4.0,0.4,0.0,0.4,,,0.4,True,2,https://maps.google.com/?cid=17680368040271103433&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:42.960104
19,0,,"Orlando International Drive, Florida",3.0,rosen inn international,"7041 Grand National Dr #200, Orlando, FL 32819, USA",Google Places,,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=3358100592598332492&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:50.128447
20,0,,"Orlando International Drive, Florida",3.0,HOTEL SABA OWNER LLC,"7021 Grand National Dr, Orlando, FL 32819, USA",Google Places,,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=11846169863403512977&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,2026-05-25T18:12:51.655890
